0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 5.700000000000000000e+01 1.540540540540540626e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00 7.000000000000000000e+00 1.000000000000000000e+01 1.000000000000000000e+01
0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.500000000000000000e+01 2.567567567567567433e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.000000000000000000e+00 6.000000000000000000e+00 8.000000000000000000e+00 7.000000000000000000e+00 3.000000000000000000e+00 9.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00 6.300000000000000000e+01 1.702702702702702797e-01 0.000000000000000000e+00 0.000000000000000000e+00 9.000000000000000000e+00 3.000000000000000000e+00 8.000000000000000000e+00 9.000000000000000000e+00 7.000000000000000000e+00 8.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000000e+00 3.000000000000000000e+00 1.550000000000000000e+02 4.189189189189189144e-01 1.550000000000000000e+02 1.000000000000000000e+00 9.000000000000000000e+00 1.000000000000000000e+01 8.000000000000000000e+00 3.000000000000000000e+00 5.000000000000000000e+00 6.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 5.500000000000000000e+01 1.486486486486486569e-01 5.500000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+01 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.430000000000000000e+02 3.864864864864864802e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.000000000000000000e+00 1.000000000000000000e+01 1.000000000000000000e+01
1.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00 1.090000000000000000e+02 2.945945945945945832e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+01 1.000000000000000000e+01 9.000000000000000000e+00 6.000000000000000000e+00 1.000000000000000000e+01
1.000000000000000000e+00 1.000000000000000000e+00 3.000000000000000000e+00 6.300000000000000000e+01 1.702702702702702797e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+01 5.000000000000000000e+00 1.000000000000000000e+01 1.000000000000000000e+01 1.000000000000000000e+01 2.000000000000000000e+00
2.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.600000000000000000e+01 2.054054054054054168e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+01 7.000000000000000000e+00 4.000000000000000000e+00 9.000000000000000000e+00 3.000000000000000000e+00 5.000000000000000000e+00
2.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.260000000000000000e+02 3.405405405405405594e-01 0.000000000000000000e+00 0.000000000000000000e+00 9.000000000000000000e+00 8.000000000000000000e+00 8.000000000000000000e+00 7.000000000000000000e+00 8.000000000000000000e+00 1.000000000000000000e+01
