# user,condition,Task category, times task selected, % selection, #times correct on this task, % correct
1.300000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,5.800000000000000000e+01,2.320000000000000118e-01,2.700000000000000000e+01,4.699999999999999734e-01
1.300000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,9.900000000000000000e+01,3.960000000000000187e-01,5.400000000000000000e+01,5.500000000000000444e-01
1.300000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,2.900000000000000000e+01,1.160000000000000059e-01,1.600000000000000000e+01,5.500000000000000444e-01
1.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.100000000000000000e+01,8.400000000000000522e-02,1.500000000000000000e+01,7.099999999999999645e-01
1.400000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,1.200000000000000000e+01,4.800000000000000100e-02,1.100000000000000000e+01,9.200000000000000400e-01
1.400000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,1.510000000000000000e+02,6.039999999999999813e-01,8.300000000000000000e+01,5.500000000000000444e-01
1.400000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,6.600000000000000000e+01,2.640000000000000124e-01,3.500000000000000000e+01,5.300000000000000266e-01
1.500000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.300000000000000000e+01,5.199999999999999761e-02,1.300000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,3.000000000000000000e+00,1.000000000000000000e+00,1.700000000000000000e+01,6.800000000000000488e-02,1.700000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,3.000000000000000000e+00,2.000000000000000000e+00,1.230000000000000000e+02,4.919999999999999929e-01,7.100000000000000000e+01,5.799999999999999600e-01
1.500000000000000000e+01,3.000000000000000000e+00,3.000000000000000000e+00,9.700000000000000000e+01,3.880000000000000115e-01,5.300000000000000000e+01,5.500000000000000444e-01
1.600000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,9.800000000000000000e+01,3.920000000000000151e-01,5.300000000000000000e+01,5.400000000000000355e-01
1.600000000000000000e+01,2.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,2.000000000000000111e-01,2.400000000000000000e+01,4.799999999999999822e-01
1.600000000000000000e+01,2.000000000000000000e+00,2.000000000000000000e+00,4.500000000000000000e+01,1.799999999999999933e-01,2.400000000000000000e+01,5.300000000000000266e-01
1.600000000000000000e+01,2.000000000000000000e+00,3.000000000000000000e+00,5.700000000000000000e+01,2.280000000000000082e-01,2.700000000000000000e+01,4.699999999999999734e-01
1.700000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,1.120000000000000023e-01,2.200000000000000000e+01,7.900000000000000355e-01
1.700000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,2.600000000000000000e+01,1.039999999999999952e-01,2.600000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,1.090000000000000000e+02,4.359999999999999987e-01,7.800000000000000000e+01,7.199999999999999734e-01
1.700000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,8.700000000000000000e+01,3.479999999999999760e-01,4.400000000000000000e+01,5.100000000000000089e-01
1.800000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000056e-01,2.400000000000000000e+01,9.599999999999999645e-01
1.800000000000000000e+01,3.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+01,8.000000000000000167e-02,1.800000000000000000e+01,9.000000000000000222e-01
1.800000000000000000e+01,3.000000000000000000e+00,2.000000000000000000e+00,3.100000000000000000e+01,1.239999999999999991e-01,2.600000000000000000e+01,8.399999999999999689e-01
1.800000000000000000e+01,3.000000000000000000e+00,3.000000000000000000e+00,1.740000000000000000e+02,6.959999999999999520e-01,8.400000000000000000e+01,4.799999999999999822e-01
1.900000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,8.000000000000000167e-02,1.800000000000000000e+01,9.000000000000000222e-01
1.900000000000000000e+01,2.000000000000000000e+00,1.000000000000000000e+00,3.300000000000000000e+01,1.320000000000000062e-01,2.600000000000000000e+01,7.900000000000000355e-01
1.900000000000000000e+01,2.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+01,1.199999999999999956e-01,2.400000000000000000e+01,8.000000000000000444e-01
1.900000000000000000e+01,2.000000000000000000e+00,3.000000000000000000e+00,1.670000000000000000e+02,6.680000000000000382e-01,6.700000000000000000e+01,4.000000000000000222e-01
2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.900000000000000000e+01,1.559999999999999998e-01,3.400000000000000000e+01,8.699999999999999956e-01
2.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,2.800000000000000000e+01,1.120000000000000023e-01,2.800000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,6.200000000000000000e+01,2.479999999999999982e-01,3.600000000000000000e+01,5.799999999999999600e-01
2.000000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,1.210000000000000000e+02,4.839999999999999858e-01,7.400000000000000000e+01,6.099999999999999867e-01
2.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.400000000000000000e+01,2.959999999999999853e-01,7.200000000000000000e+01,9.699999999999999734e-01
2.100000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,8.700000000000000000e+01,3.479999999999999760e-01,6.300000000000000000e+01,7.199999999999999734e-01
2.100000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,2.600000000000000000e+01,1.039999999999999952e-01,1.100000000000000000e+01,4.199999999999999845e-01
2.100000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,6.300000000000000000e+01,2.520000000000000018e-01,3.200000000000000000e+01,5.100000000000000089e-01
2.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,2.500000000000000000e+02,1.000000000000000000e+00,1.290000000000000000e+02,5.200000000000000178e-01
2.300000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,5.800000000000000000e+01,2.320000000000000118e-01,4.100000000000000000e+01,7.099999999999999645e-01
2.300000000000000000e+01,2.000000000000000000e+00,1.000000000000000000e+00,1.060000000000000000e+02,4.239999999999999880e-01,9.700000000000000000e+01,9.200000000000000400e-01
2.300000000000000000e+01,2.000000000000000000e+00,2.000000000000000000e+00,5.100000000000000000e+01,2.039999999999999869e-01,3.000000000000000000e+01,5.899999999999999689e-01
2.300000000000000000e+01,2.000000000000000000e+00,3.000000000000000000e+00,3.500000000000000000e+01,1.400000000000000133e-01,1.900000000000000000e+01,5.400000000000000355e-01
2.400000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,2.000000000000000111e-01,4.600000000000000000e+01,9.200000000000000400e-01
2.400000000000000000e+01,2.000000000000000000e+00,1.000000000000000000e+00,3.600000000000000000e+01,1.439999999999999891e-01,2.900000000000000000e+01,8.100000000000000533e-01
2.400000000000000000e+01,2.000000000000000000e+00,2.000000000000000000e+00,3.200000000000000000e+01,1.280000000000000027e-01,2.700000000000000000e+01,8.399999999999999689e-01
2.400000000000000000e+01,2.000000000000000000e+00,3.000000000000000000e+00,1.320000000000000000e+02,5.280000000000000249e-01,7.300000000000000000e+01,5.500000000000000444e-01
2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.040000000000000000e+02,8.159999999999999476e-01,1.940000000000000000e+02,9.499999999999999556e-01
2.500000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,1.700000000000000000e+01,6.800000000000000488e-02,5.000000000000000000e+00,2.899999999999999800e-01
2.500000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,1.500000000000000000e+01,5.999999999999999778e-02,7.000000000000000000e+00,4.699999999999999734e-01
2.500000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,1.400000000000000000e+01,5.600000000000000117e-02,8.000000000000000000e+00,5.699999999999999512e-01
2.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.600000000000000000e+01,1.039999999999999952e-01,2.100000000000000000e+01,8.100000000000000533e-01
2.600000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,3.500000000000000000e+01,1.400000000000000133e-01,1.800000000000000000e+01,5.100000000000000089e-01
2.600000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e+01,2.000000000000000111e-01,2.600000000000000000e+01,5.200000000000000178e-01
2.600000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,1.390000000000000000e+02,5.560000000000000497e-01,7.100000000000000000e+01,5.100000000000000089e-01
2.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,1.600000000000000033e-01,2.700000000000000000e+01,6.800000000000000488e-01
2.700000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,1.720000000000000000e+02,6.879999999999999449e-01,1.030000000000000000e+02,5.999999999999999778e-01
2.700000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,3.800000000000000000e+01,1.519999999999999962e-01,1.400000000000000000e+01,3.699999999999999956e-01
2.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.400000000000000000e+01,2.560000000000000053e-01,3.600000000000000000e+01,5.600000000000000533e-01
2.800000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,1.220000000000000000e+02,4.879999999999999893e-01,6.800000000000000000e+01,5.600000000000000533e-01
2.800000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,6.400000000000000000e+01,2.560000000000000053e-01,2.600000000000000000e+01,4.099999999999999756e-01
2.800000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.900000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01,5.999999999999999778e-02,1.400000000000000000e+01,9.300000000000000488e-01
2.900000000000000000e+01,2.000000000000000000e+00,1.000000000000000000e+00,6.300000000000000000e+01,2.520000000000000018e-01,4.500000000000000000e+01,7.099999999999999645e-01
2.900000000000000000e+01,2.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+01,1.600000000000000033e-01,2.400000000000000000e+01,5.999999999999999778e-01
2.900000000000000000e+01,2.000000000000000000e+00,3.000000000000000000e+00,1.320000000000000000e+02,5.280000000000000249e-01,6.700000000000000000e+01,5.100000000000000089e-01
3.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,5.500000000000000000e+01,2.200000000000000011e-01,5.100000000000000000e+01,9.300000000000000488e-01
3.000000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,4.900000000000000000e+01,1.960000000000000075e-01,4.400000000000000000e+01,9.000000000000000222e-01
3.000000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,1.020000000000000000e+02,4.079999999999999738e-01,6.100000000000000000e+01,5.999999999999999778e-01
3.000000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,4.400000000000000000e+01,1.759999999999999898e-01,2.400000000000000000e+01,5.500000000000000444e-01
3.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.100000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.100000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.100000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,2.500000000000000000e+02,1.000000000000000000e+00,1.260000000000000000e+02,5.000000000000000000e-01
3.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.940000000000000000e+02,7.760000000000000231e-01,1.720000000000000000e+02,8.900000000000000133e-01
3.200000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01,5.999999999999999778e-02,8.000000000000000000e+00,5.300000000000000266e-01
3.200000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,1.500000000000000000e+01,5.999999999999999778e-02,7.000000000000000000e+00,4.699999999999999734e-01
3.200000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,2.600000000000000000e+01,1.039999999999999952e-01,1.400000000000000000e+01,5.400000000000000355e-01
3.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.600000000000000000e+01,3.439999999999999725e-01,7.400000000000000000e+01,8.599999999999999867e-01
3.300000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.300000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,1.640000000000000000e+02,6.560000000000000275e-01,1.050000000000000000e+02,6.400000000000000133e-01
3.300000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.100000000000000000e+01,8.400000000000000522e-02,1.700000000000000000e+01,8.100000000000000533e-01
3.400000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.230000000000000000e+02,4.919999999999999929e-01,6.400000000000000000e+01,5.200000000000000178e-01
3.400000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,8.000000000000000000e+01,3.200000000000000067e-01,6.100000000000000000e+01,7.600000000000000089e-01
3.400000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,2.600000000000000000e+01,1.039999999999999952e-01,1.000000000000000000e+01,3.800000000000000044e-01
3.500000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,7.800000000000000000e+01,3.119999999999999996e-01,6.700000000000000000e+01,8.599999999999999867e-01
3.500000000000000000e+01,2.000000000000000000e+00,1.000000000000000000e+00,1.800000000000000000e+01,7.199999999999999456e-02,1.200000000000000000e+01,6.700000000000000400e-01
3.500000000000000000e+01,2.000000000000000000e+00,2.000000000000000000e+00,7.300000000000000000e+01,2.919999999999999818e-01,4.600000000000000000e+01,6.300000000000000044e-01
3.500000000000000000e+01,2.000000000000000000e+00,3.000000000000000000e+00,8.100000000000000000e+01,3.240000000000000102e-01,4.200000000000000000e+01,5.200000000000000178e-01
3.600000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,2.700000000000000000e+01,1.079999999999999988e-01,7.000000000000000000e+00,2.600000000000000089e-01
3.600000000000000000e+01,3.000000000000000000e+00,1.000000000000000000e+00,3.200000000000000000e+01,1.280000000000000027e-01,2.800000000000000000e+01,8.800000000000000044e-01
3.600000000000000000e+01,3.000000000000000000e+00,2.000000000000000000e+00,4.600000000000000000e+01,1.839999999999999969e-01,3.700000000000000000e+01,8.000000000000000444e-01
3.600000000000000000e+01,3.000000000000000000e+00,3.000000000000000000e+00,1.450000000000000000e+02,5.799999999999999600e-01,7.700000000000000000e+01,5.300000000000000266e-01
3.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000042e-02,4.000000000000000000e+00,8.000000000000000444e-01
3.700000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,9.100000000000000000e+01,3.639999999999999902e-01,4.300000000000000000e+01,4.699999999999999734e-01
3.700000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,1.040000000000000000e+02,4.159999999999999809e-01,4.700000000000000000e+01,4.500000000000000111e-01
3.700000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e+01,2.000000000000000111e-01,3.100000000000000000e+01,6.199999999999999956e-01
3.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.050000000000000000e+02,4.199999999999999845e-01,6.500000000000000000e+01,6.199999999999999956e-01
3.800000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.800000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.800000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,1.450000000000000000e+02,5.799999999999999600e-01,7.200000000000000000e+01,5.000000000000000000e-01
3.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.600000000000000033e-02,4.000000000000000000e+00,1.000000000000000000e+00
3.900000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,1.470000000000000000e+02,5.879999999999999671e-01,7.700000000000000000e+01,5.200000000000000178e-01
3.900000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+01,2.399999999999999911e-01,4.600000000000000000e+01,7.700000000000000178e-01
3.900000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,3.900000000000000000e+01,1.559999999999999998e-01,2.400000000000000000e+01,6.199999999999999956e-01
4.000000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.900000000000000000e+01,7.599999999999999811e-02,1.500000000000000000e+01,7.900000000000000355e-01
4.000000000000000000e+01,3.000000000000000000e+00,1.000000000000000000e+00,7.900000000000000000e+01,3.160000000000000031e-01,4.500000000000000000e+01,5.699999999999999512e-01
4.000000000000000000e+01,3.000000000000000000e+00,2.000000000000000000e+00,8.500000000000000000e+01,3.400000000000000244e-01,5.400000000000000000e+01,6.400000000000000133e-01
4.000000000000000000e+01,3.000000000000000000e+00,3.000000000000000000e+00,6.700000000000000000e+01,2.680000000000000160e-01,2.700000000000000000e+01,4.000000000000000222e-01
4.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,5.100000000000000000e+01,2.039999999999999869e-01,4.100000000000000000e+01,8.000000000000000444e-01
